Site,Name,Lat,Long,Start,End
23000,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),-34.9257,138.5832,1955-01-01,2024-07-01
23034,ADELAIDE AIRPORT,-34.9524,138.5196,1955-02-01,2024-07-01
200735,ADELE ISLAND,-15.5114,123.1556,1973-09-01,2024-07-01
90180,AIREYS INLET,-38.4583,144.0883,1990-07-01,2024-07-01
9999,ALBANY AIRPORT,-34.9411,117.8158,2012-01-01,2024-07-01
68241,ALBION PARK (SHELLHARBOUR AIRPORT),-34.5639,150.7924,1999-06-01,2024-07-01
72160,ALBURY AIRPORT AWS,-36.069,146.9509,1993-05-01,2024-07-01
15590,ALICE SPRINGS AIRPORT,-23.7951,133.889,1941-11-01,2024-07-01
33295,ALVA BEACH,-19.4569,147.4833,1997-03-01,2024-07-01
40004,AMBERLEY AMO,-27.6297,152.7111,1952-06-01,2024-07-01
41175,APPLETHORPE,-28.6217,151.9533,1966-07-01,2024-07-01
40211,ARCHERFIELD AIRPORT,-27.5716,153.0071,1939-04-01,2024-07-01
2064,ARGYLE AERODROME,-16.638,128.4516,1994-06-01,2024-07-01
56238,ARMIDALE AIRPORT AWS,-30.5273,151.6158,1994-06-01,2024-07-01
87113,AVALON AIRPORT,-38.0288,144.4783,1995-03-01,2024-07-01
33002,AYR DPI RESEARCH STN,-19.6169,147.3758,1951-12-01,2024-07-01
67108,BADGERYS CREEK AWS,-33.8969,150.7281,1995-11-01,2024-07-01
9037,BADGINGARRA RESEARCH STN,-30.3381,115.5394,1965-01-01,2024-07-01
85279,BAIRNSDALE AIRPORT,-37.8818,147.5669,1942-07-01,2024-07-01
89002,BALLARAT AERODROME,-37.5127,143.7911,1951-07-01,2024-07-01
45009,BALLERA GAS FIELD,-27.4008,141.8114,2002-08-01,2024-07-01
58198,BALLINA AIRPORT AWS,-28.8353,153.5585,1992-11-01,2024-07-01
66137,BANKSTOWN AIRPORT AWS,-33.9176,150.9837,1968-07-01,2024-07-01
5094,BARROW ISLAND AIRPORT,-20.874,115.4066,1999-02-01,2024-07-01
14272,BATCHELOR AIRPORT,-13.0544,131.0252,1992-08-01,2024-07-01
63291,BATHURST AIRPORT AWS,-33.4119,149.654,1989-08-01,2024-07-01
40983,BEAUDESERT DRUMLEY STREET,-27.9707,152.9898,2007-08-01,2024-07-01
40284,BEERBURRUM FOREST STATION,-26.9586,152.9619,1999-03-01,2024-07-01
69139,BEGA AWS,-36.6722,149.8191,1992-03-01,2024-07-01
68228,BELLAMBI AWS,-34.3692,150.9291,1997-04-01,2024-07-01
81123,BENDIGO AIRPORT,-36.7411,144.3274,1991-10-01,2024-07-01
9240,BICKLEY,-32.0072,116.1369,1994-01-01,2024-07-01
38026,BIRDSVILLE AIRPORT,-25.8975,139.3472,2000-06-01,2024-07-01
36034,BLACKALL AIRPORT,-24.4303,145.4306,2001-03-01,2024-07-01
35134,BLACKWATER AIRPORT,-23.6015,148.8074,2013-05-01,2024-07-01
70328,BOMBALA AWS,-37.0015,149.2336,1989-07-01,2024-07-01
14723,BORROLOOLA AIRPORT,-16.0755,136.3041,1987-01-01,2024-07-01
200840,BOUGAINVILLE REEF,-15.4877,147.1183,1992-11-01,2024-07-01
48245,BOURKE AIRPORT AWS,-30.0362,145.9521,1998-12-01,2024-07-01
33327,BOWEN AIRPORT AWS,-20.0153,148.2138,2015-03-01,2024-07-01
14808,BRADSHAW - ANGALLARI VALLEY (DEFENCE),-15.4397,130.5731,2017-12-01,2024-07-01
14981,BRADSHAW - KOOLENDONG VALLEY (DEFENCE),-15.1853,130.1169,2018-10-01,2024-07-01
69132,BRAIDWOOD RACECOURSE AWS,-35.4253,149.7835,1987-10-01,2024-07-01
87184,BREAKWATER (GEELONG RACECOURSE),-38.1737,144.3765,2011-06-01,2024-07-01
9617,BRIDGETOWN,-33.9486,116.1311,1998-03-01,2024-07-01
40913,BRISBANE,-27.4808,153.0389,1999-12-01,2024-07-01
40842,BRISBANE AERO,-27.3917,153.1292,1994-04-01,2024-07-01
47048,BROKEN HILL AIRPORT AWS,-32.0012,141.4694,1946-01-01,2024-07-01
3003,BROOME AIRPORT,-17.9475,122.2352,1939-08-01,2024-07-01
3102,BROOME NTC AWS,-18.0015,122.2176,2013-05-01,2024-07-01
14627,BULMAN,-13.6715,134.3415,2002-10-01,2024-07-01
9965,BUNBURY,-33.3567,115.6447,1995-11-01,2024-07-01
39128,BUNDABERG AERO,-24.9069,152.323,1942-02-01,2024-07-01
29077,BURKETOWN AIRPORT,-17.7483,139.5356,2001-10-01,2024-07-01
91344,BURNIE NTC AWS,-41.05,145.9149,2013-05-01,2024-07-01
95003,BUSHY PARK (BUSHY PARK ESTATES),-42.7097,146.8983,1957-01-01,2024-07-01
9603,BUSSELTON AERO,-33.6818,115.4026,1997-10-01,2024-07-01
96003,BUTLERS GORGE,-42.2753,146.2758,1957-01-01,2024-07-01
58216,BYRON BAY (CAPE BYRON AWS),-28.6399,153.6358,2002-11-01,2024-07-01
72161,CABRAMURRA SMHEA AWS,-35.9371,148.3779,1996-12-01,2024-07-01
31011,CAIRNS AERO,-16.8736,145.7458,1941-05-01,2024-07-01
31222,CAIRNS RACECOURSE,-16.9463,145.7474,2013-08-01,2024-07-01
68192,CAMDEN AIRPORT AWS,-34.039,150.689,1943-01-01,2024-07-01
37010,CAMOOWEAL TOWNSHIP,-19.9225,138.1214,1939-06-01,2024-07-01
94212,CAMPANIA (KINCORA),-42.6867,147.4258,2000-04-01,2024-07-01
68257,CAMPBELLTOWN (MOUNT ANNAN),-34.0615,150.7735,2006-11-01,2024-07-01
70351,CANBERRA AIRPORT,-35.3088,149.2004,2008-09-01,2024-07-01
66194,CANTERBURY RACECOURSE AWS,-33.9057,151.1134,1995-10-01,2024-07-01
140008,CANUNGRA (DEFENCE),-28.0437,153.1871,2018-03-01,2024-07-01
22823,CAPE BORDA,-35.7549,136.5959,2000-01-01,2024-07-01
94198,CAPE BRUNY (CAPE BRUNY),-43.4886,147.1444,1997-05-01,2024-07-01
31213,CAPE FLATTERY,-14.9672,145.3106,2003-06-01,2024-07-01
26095,CAPE JAFFA (THE LIMESTONE),-36.9655,139.7164,1991-03-01,2024-07-01
9518,CAPE LEEUWIN,-34.3728,115.1358,1907-01-01,2024-07-01
40043,CAPE MORETON LIGHTHOUSE,-27.0314,153.4661,1957-01-01,2024-07-01
9519,CAPE NATURALISTE,-33.5372,115.0189,1957-01-01,2024-07-01
90184,CAPE NELSON LIGHTHOUSE,-38.4306,141.5437,1995-12-01,2024-07-01
90015,CAPE OTWAY LIGHTHOUSE,-38.8557,143.513,1861-01-01,2024-07-01
97000,CAPE SORELL,-42.1986,145.17,1957-01-01,2024-07-01
200786,CAPE WESSEL,-11.0047,136.7586,1972-09-01,2024-07-01
22803,CAPE WILLOUGHBY,-35.8426,138.1327,1967-09-01,2024-07-01
6011,CARNARVON AIRPORT,-24.8878,113.67,1945-01-01,2024-07-01
37053,CARTERS BORE,-20.9358,139.2964,2014-07-01,2024-07-01
300017,CASEY,-66.2825,110.5231,1989-01-01,2024-07-01
58208,CASINO AIRPORT AWS,-28.8824,153.0618,1995-01-01,2024-07-01
90182,CASTERTON,-37.583,141.3339,2005-03-01,2024-07-01
200601,CATO ISLAND,-23.2503,155.542,1972-09-01,2024-07-01
18207,CEDUNA (THEVENARD NTC AWS),-32.149,133.6416,2020-12-01,2024-07-01
18012,CEDUNA AMO,-32.1297,133.6976,1939-03-01,2024-07-01
14909,CENTRAL ARNHEM PLATEAU,-13.3275,133.0861,2003-08-01,2024-07-01
14703,CENTRE ISLAND,-15.7426,136.8192,1974-10-01,2024-07-01
86361,CERBERUS,-38.3646,145.1785,1987-10-01,2024-07-01
61260,CESSNOCK AIRPORT AWS,-32.7914,151.3369,1968-10-01,2024-07-01
14031,CHARLES POINT,-12.3895,130.6306,2014-07-01,2024-07-01
44021,CHARLEVILLE AERO,-26.4139,146.2558,1942-04-01,2024-07-01
80128,CHARLTON,-36.2846,143.3341,2004-07-01,2024-07-01
200790,CHRISTMAS ISLAND AERO,-10.4515,105.689,1972-09-01,2024-07-01
21131,CLARE HIGH SCHOOL,-33.8226,138.5933,1994-04-01,2024-07-01
